customer_id,join_date,city,gender,age_group,loyalty_tier
CUST000001,2023-08-02,Kolkata,Female,26-35,Bronze
CUST000002,2020-08-16,Chennai,Male,18-25,Bronze
CUST000003,2020-02-21,Ahmedabad,Female,26-35,Silver
CUST000004,2024-02-27,Hyderabad,Male,26-35,Gold
CUST000005,2021-07-17,Kolkata,Female,26-35,Gold
CUST000006,2021-05-16,Lucknow,Male,18-25,Gold
CUST000007,2021-04-02,Bangalore,Male,36-45,Bronze
CUST000008,2020-10-12,Kolkata,Female,18-25,Bronze
CUST000009,2024-02-17,Ahmedabad,Female,26-35,Bronze
CUST000010,2020-07-28,Hyderabad,Male,36-45,Bronze
CUST000011,2023-10-17,Chennai,Female,26-35,Bronze
CUST000012,2024-02-25,Ahmedabad,Female,26-35,Gold
CUST000013,2023-01-21,Ahmedabad,Male,36-45,Bronze
CUST000014,2020-06-27,Bangalore,Female,26-35,Bronze
CUST000015,2023-04-24,Pune,Male,36-45,Bronze
CUST000016,2022-05-14,Hyderabad,Female,36-45,Gold
CUST000017,2020-03-06,Delhi,Female,36-45,Silver
CUST000018,2020-03-02,Ahmedabad,Female,26-35,Silver
CUST000019,2020-07-10,Pune,Male,18-25,Gold
CUST000020,2021-03-23,Delhi,Male,26-35,Bronze
CUST000021,2021-04-21,Hyderabad,Male,26-35,Silver
CUST000022,2022-10-31,Mumbai,Male,26-35,Bronze
CUST000023,2023-05-17,Lucknow,Male,26-35,Bronze
CUST000024,2020-02-24,Pune,Female,26-35,Gold
CUST000025,2023-02-23,Jaipur,Male,18-25,Silver
CUST000026,2021-02-11,Mumbai,Male,26-35,Bronze
CUST000027,2024-01-06,Lucknow,Female,26-35,Bronze
CUST000028,2023-08-23,Bangalore,Male,36-45,Silver
CUST000029,2023-12-07,Kolkata,Female,18-25,Bronze
CUST000030,2023-01-21,Chennai,Male,26-35,Bronze
CUST000031,2022-05-09,Jaipur,Female,46-55,Bronze
CUST000032,2021-03-27,Bangalore,Male,18-25,Bronze
CUST000033,2022-07-08,Hyderabad,Male,26-35,Gold
CUST000034,2023-04-21,Bangalore,Female,18-25,Bronze
CUST000035,2021-07-23,Kolkata,Male,36-45,Bronze
CUST000036,2024-07-15,Hyderabad,Female,26-35,Silver
CUST000037,2024-11-15,Jaipur,Male,26-35,Gold
CUST000038,2020-01-14,Kolkata,Male,26-35,Bronze
CUST000039,2024-04-03,Delhi,Female,46-55,Bronze
CUST000040,2024-07-08,Chennai,Male,18-25,Bronze
CUST000041,2020-11-22,Jaipur,Female,18-25,Silver
CUST000042,2023-11-30,Delhi,Other,46-55,Silver
CUST000043,2022-05-15,Lucknow,Female,26-35,Gold
CUST000044,2021-11-27,Jaipur,Female,46-55,Platinum
CUST000045,2021-07-23,Lucknow,Male,26-35,Silver
CUST000046,2020-11-14,Hyderabad,Male,46-55,Silver
CUST000047,2021-03-16,Delhi,Male,26-35,Bronze
CUST000048,2024-04-12,Chennai,Female,36-45,Bronze
CUST000049,2021-11-20,Kolkata,Other,46-55,Platinum
CUST000050,2020-07-28,Ahmedabad,Male,26-35,Bronze
CUST000051,2020-07-08,Bangalore,Female,18-25,Bronze
CUST000052,2022-02-17,Mumbai,Male,26-35,Silver
CUST000053,2020-07-17,Chennai,Female,18-25,Bronze
CUST000054,2022-01-05,Delhi,Male,18-25,Silver
CUST000055,2024-10-01,Ahmedabad,Other,26-35,Silver
CUST000056,2021-12-05,Chennai,Female,26-35,Bronze
CUST000057,2023-05-21,Delhi,Male,26-35,Gold
CUST000058,2021-06-25,Pune,Male,26-35,Bronze
CUST000059,2024-07-10,Pune,Male,36-45,Bronze
CUST000060,2020-03-29,Lucknow,Male,18-25,Silver
CUST000061,2024-02-03,Chennai,Male,18-25,Silver
CUST000062,2022-07-29,Pune,Female,18-25,Silver
CUST000063,2023-01-03,Delhi,Female,26-35,Bronze
CUST000064,2020-09-12,Lucknow,Female,18-25,Silver
CUST000065,2022-02-14,Delhi,Male,26-35,Bronze
CUST000066,2020-06-10,Lucknow,Female,26-35,Gold
CUST000067,2023-02-04,Chennai,Female,46-55,Bronze
CUST000068,2021-08-23,Ahmedabad,Male,18-25,Silver
CUST000069,2024-08-25,Kolkata,Female,36-45,Bronze
CUST000070,2023-07-11,Jaipur,Female,36-45,Bronze
CUST000071,2023-06-20,Ahmedabad,Male,36-45,Bronze
CUST000072,2024-10-30,Hyderabad,Male,46-55,Gold
CUST000073,2022-01-10,Delhi,Female,18-25,Silver
CUST000074,2023-03-28,Hyderabad,Male,18-25,Gold
CUST000075,2021-01-28,Ahmedabad,Female,46-55,Bronze
CUST000076,2023-12-13,Lucknow,Female,26-35,Bronze
CUST000077,2020-05-22,Jaipur,Female,26-35,Bronze
CUST000078,2020-04-03,Jaipur,Male,36-45,Gold
CUST000079,2023-09-16,Mumbai,Male,36-45,Bronze
CUST000080,2021-04-11,Jaipur,Female,46-55,Gold
CUST000081,2024-05-02,Kolkata,Female,56+,Gold
CUST000082,2021-08-15,Jaipur,Male,36-45,Gold
CUST000083,2020-06-12,Ahmedabad,Female,26-35,Silver
CUST000084,2024-10-17,Mumbai,Female,46-55,Silver
CUST000085,2021-04-21,Ahmedabad,Male,18-25,Silver
CUST000086,2024-11-09,Ahmedabad,Male,18-25,Bronze
CUST000087,2020-07-25,Bangalore,Female,46-55,Silver
CUST000088,2022-02-17,Mumbai,Male,26-35,Bronze
CUST000089,2021-07-23,Ahmedabad,Male,18-25,Bronze
CUST000090,2022-07-17,Bangalore,Male,18-25,Bronze
CUST000091,2023-07-25,Bangalore,Male,46-55,Bronze
CUST000092,2024-09-04,Mumbai,Female,26-35,Bronze
CUST000093,2022-01-17,Hyderabad,Female,36-45,Bronze
CUST000094,2020-11-29,Lucknow,Male,18-25,Silver
CUST000095,2022-01-28,Kolkata,Female,36-45,Bronze
CUST000096,2021-12-28,Lucknow,Female,36-45,Silver
CUST000097,2021-03-05,Jaipur,Female,26-35,Bronze
CUST000098,2023-10-04,Kolkata,Male,26-35,Silver
CUST000099,2021-06-30,Jaipur,Male,18-25,Silver
CUST000100,2023-12-08,Ahmedabad,Other,56+,Silver
CUST000101,2023-10-31,Delhi,Female,36-45,Silver
CUST000102,2023-08-20,Mumbai,Male,46-55,Bronze
CUST000103,2020-05-26,Kolkata,Male,26-35,Silver
CUST000104,2023-06-01,Kolkata,Male,36-45,Bronze
CUST000105,2023-07-24,Ahmedabad,Female,36-45,Bronze
CUST000106,2020-12-16,Hyderabad,Female,36-45,Silver
CUST000107,2022-12-29,Bangalore,Female,56+,Bronze
CUST000108,2024-02-02,Ahmedabad,Male,26-35,Silver
CUST000109,2021-05-16,Pune,Female,18-25,Silver
CUST000110,2020-11-30,Bangalore,Female,36-45,Bronze
CUST000111,2022-08-04,Mumbai,Male,36-45,Bronze
CUST000112,2022-02-16,Bangalore,Female,26-35,Bronze
CUST000113,2021-07-06,Hyderabad,Other,18-25,Gold
CUST000114,2023-08-03,Bangalore,Male,26-35,Silver
CUST000115,2023-11-10,Mumbai,Female,26-35,Bronze
CUST000116,2023-02-14,Hyderabad,Male,26-35,Bronze
CUST000117,2021-03-25,Lucknow,Female,36-45,Silver
CUST000118,2023-11-03,Kolkata,Female,36-45,Gold
