loyalty_txn_id,customer_id,points,txn_date,reason
LT0000001,CUST001794,466,2022-10-15,Manual Adjust
LT0000002,CUST000265,-23,2020-12-16,Order Earn
LT0000003,CUST002294,331,2022-07-07,Order Earn
LT0000004,CUST001424,450,2022-09-03,Order Redeem
LT0000005,CUST000262,254,2023-10-28,Promo Bonus
LT0000006,CUST000268,222,2024-01-12,Promo Bonus
LT0000007,CUST002334,288,2021-05-31,Order Earn
LT0000008,CUST002449,439,2022-10-02,Manual Adjust
LT0000009,CUST000547,104,2022-03-22,Order Redeem
LT0000010,CUST001852,282,2021-09-26,Promo Bonus
LT0000011,CUST001354,3,2021-04-21,Manual Adjust
LT0000012,CUST000591,497,2024-04-18,Promo Bonus
LT0000013,CUST000028,418,2023-06-02,Order Earn
LT0000014,CUST001468,356,2023-04-18,Order Earn
LT0000015,CUST000291,264,2023-06-11,Order Earn
LT0000016,CUST002170,240,2022-04-27,Order Redeem
LT0000017,CUST000798,261,2021-05-24,Order Redeem
LT0000018,CUST000743,236,2020-03-01,Manual Adjust
LT0000019,CUST000490,270,2021-11-10,Order Earn
LT0000020,CUST000386,61,2022-04-06,Manual Adjust
LT0000021,CUST001670,200,2022-02-19,Manual Adjust
LT0000022,CUST000568,392,2021-12-04,Order Redeem
LT0000023,CUST000393,-57,2021-09-29,Promo Bonus
LT0000024,CUST000727,160,2023-12-19,Manual Adjust
LT0000025,CUST001033,386,2022-10-20,Order Earn
LT0000026,CUST000756,451,2021-06-17,Manual Adjust
LT0000027,CUST000822,436,2021-04-09,Promo Bonus
LT0000028,CUST000335,63,2021-11-26,Manual Adjust
LT0000029,CUST000386,304,2022-12-08,Promo Bonus
LT0000030,CUST000084,360,2023-05-26,Order Earn
LT0000031,CUST002282,-18,2020-05-01,Promo Bonus
LT0000032,CUST000392,-80,2020-12-11,Order Earn
LT0000033,CUST002168,249,2020-01-26,Order Earn
LT0000034,CUST001339,149,2022-02-26,Promo Bonus
LT0000035,CUST000114,231,2024-06-26,Promo Bonus
LT0000036,CUST000285,-63,2020-12-19,Order Redeem
LT0000037,CUST002041,329,2021-01-07,Order Redeem
LT0000038,CUST001415,396,2020-07-17,Order Redeem
LT0000039,CUST002457,65,2022-02-05,Order Redeem
LT0000040,CUST001806,45,2023-12-17,Order Redeem
LT0000041,CUST002079,-46,2020-10-31,Manual Adjust
LT0000042,CUST000125,-13,2023-06-28,Order Earn
LT0000043,CUST002202,151,2024-06-13,Order Earn
LT0000044,CUST001277,182,2021-08-19,Order Earn
LT0000045,CUST001430,288,2023-10-30,Order Redeem
LT0000046,CUST002418,-92,2022-11-27,Order Redeem
LT0000047,CUST000409,354,2022-10-16,Order Redeem
LT0000048,CUST002472,156,2020-11-13,Promo Bonus
LT0000049,CUST001863,487,2023-09-10,Manual Adjust
LT0000050,CUST001835,8,2020-08-26,Order Earn
LT0000051,CUST001386,54,2021-05-19,Promo Bonus
LT0000052,CUST000580,449,2021-05-05,Manual Adjust
LT0000053,CUST000772,86,2024-06-14,Manual Adjust
