order_id,customer_id,order_date,order_status,shipping_type,order_total
ORD0000001,CUST001854,2020-01-04,Shipped,Standard,74977.0
ORD0000002,CUST000754,2023-06-13,Processing,Standard,89272.99
ORD0000003,CUST001353,2021-12-23,Delivered,Standard,104384.19
ORD0000004,CUST001869,2021-05-07,Delivered,Two-day,38317.48
ORD0000005,CUST001064,2023-03-14,Delivered,Express,78272.58
ORD0000006,CUST000182,2022-05-03,Delivered,Standard,41276.63
ORD0000007,CUST001514,2021-01-18,Delivered,Standard,20547.78
ORD0000008,CUST000903,2023-09-22,Delivered,Standard,92444.0
ORD0000009,CUST001143,2023-09-30,Delivered,Standard,81846.75
ORD0000010,CUST002306,2020-06-24,Delivered,Standard,30205.87
ORD0000011,CUST001507,2022-12-08,Delivered,Express,51661.18
ORD0000012,CUST002140,2022-01-08,Delivered,Two-day,7270.99
ORD0000013,CUST002003,2020-05-18,Delivered,Standard,103218.8
ORD0000014,CUST001185,2022-12-13,Delivered,Standard,91664.1
ORD0000015,CUST000149,2023-01-19,Delivered,Standard,49245.89
ORD0000016,CUST002165,2022-11-05,Shipped,Standard,33722.01
ORD0000017,CUST002093,2024-05-29,Delivered,Standard,68042.64
ORD0000018,CUST001801,2022-11-05,Delivered,Express,3986.97
ORD0000019,CUST002022,2023-02-08,Delivered,Two-day,122297.86
ORD0000020,CUST001843,2020-02-11,Delivered,Two-day,44483.12
ORD0000021,CUST002037,2022-03-10,Delivered,Express,64336.55
ORD0000022,CUST002282,2022-08-20,Delivered,Two-day,41836.73
ORD0000023,CUST001399,2020-03-30,Delivered,Two-day,38809.39
ORD0000024,CUST001571,2023-07-25,Delivered,Standard,34709.6
ORD0000025,CUST001874,2022-03-03,Cancelled,Standard,61985.38
ORD0000026,CUST001973,2022-02-03,Cancelled,Standard,10758.26
ORD0000027,CUST002245,2021-06-03,Shipped,Standard,106477.15
ORD0000028,CUST002073,2024-03-10,Delivered,Standard,15494.59
ORD0000029,CUST002443,2020-02-03,Delivered,Express,94066.3
ORD0000030,CUST000714,2022-01-01,Shipped,Standard,76595.76
ORD0000031,CUST001809,2024-06-02,Delivered,Standard,4755.35
ORD0000032,CUST000223,2020-05-18,Delivered,Standard,82770.17
ORD0000033,CUST000864,2021-12-07,Delivered,Standard,100842.14
ORD0000034,CUST000530,2021-05-08,Delivered,Standard,104720.73
ORD0000035,CUST001212,2024-02-10,Delivered,Standard,63279.72
ORD0000036,CUST001426,2023-09-07,Delivered,Standard,84231.84
ORD0000037,CUST002305,2023-07-10,Delivered,Standard,16074.74
ORD0000038,CUST000654,2020-07-31,Delivered,Standard,141159.89
ORD0000039,CUST001160,2024-04-29,Delivered,Standard,50794.44
ORD0000040,CUST001843,2023-04-06,Delivered,Standard,55017.96
