payment_id,order_id,payment_method,payment_status,paid_amount,transaction_fee,payment_date
PAY00000001,ORD0000001,UPI,Success,74977.0,0.0,2020-01-06
PAY00000002,ORD0000002,Cash on Delivery,Success,89272.99,36.15,2023-06-14
PAY00000003,ORD0000003,Netbanking,Success,104384.19,6.95,2021-12-24
PAY00000004,ORD0000004,Debit Card,Success,38317.48,5.94,2021-05-07
PAY00000005,ORD0000005,UPI,Success,78272.58,0.0,2023-03-14
PAY00000006,ORD0000006,Netbanking,Success,41276.63,5.39,2022-05-03
PAY00000007,ORD0000007,UPI,Success,20547.78,0.0,2021-01-19
PAY00000008,ORD0000008,UPI,Success,92444.0,0.0,2023-09-23
PAY00000009,ORD0000009,Debit Card,Success,81846.75,14.3,2023-10-02
PAY00000010,ORD0000010,Debit Card,Success,30205.87,31.65,2020-06-25
PAY00000011,ORD0000011,Credit Card,Success,51661.18,24.45,2022-12-12
PAY00000012,ORD0000012,Credit Card,Success,7270.99,43.71,2022-01-08
PAY00000013,ORD0000013,Credit Card,Success,103218.8,27.79,2020-05-21
PAY00000014,ORD0000014,Debit Card,Success,91664.1,21.07,2022-12-13
PAY00000015,ORD0000015,Netbanking,Success,49245.89,28.45,2023-01-21
PAY00000016,ORD0000016,Debit Card,Success,33722.01,15.88,2022-11-07
PAY00000017,ORD0000017,Wallet,Success,68042.64,22.89,2024-05-30
PAY00000018,ORD0000018,Credit Card,Success,3986.97,28.74,2022-11-09
PAY00000019,ORD0000019,UPI,Success,122297.86,0.0,2023-02-09
PAY00000020,ORD0000020,Credit Card,Success,44483.12,12.99,2020-02-11
PAY00000021,ORD0000021,Wallet,Success,64336.55,39.46,2022-03-13
PAY00000022,ORD0000022,Debit Card,Success,41836.73,8.96,2022-08-21
PAY00000023,ORD0000023,Debit Card,Success,38809.39,5.97,2020-04-01
PAY00000024,ORD0000024,Wallet,Success,34709.6,43.17,2023-07-28
PAY00000025,ORD0000025,Debit Card,Failed,61985.38,8.35,2022-03-04
PAY00000026,ORD0000026,Wallet,Failed,10758.26,43.85,2022-02-06
PAY00000027,ORD0000027,UPI,Success,106477.15,0.0,2021-06-05
PAY00000028,ORD0000028,Credit Card,Success,15494.59,36.33,2024-03-12
PAY00000029,ORD0000029,Credit Card,Success,94066.3,26.93,2020-02-04
PAY00000030,ORD0000030,Wallet,Success,76595.76,29.33,2022-01-02
PAY00000031,ORD0000031,Credit Card,Success,4755.35,26.37,2024-06-03
PAY00000032,ORD0000032,Credit Card,Success,82770.17,21.51,2020-05-19
PAY00000033,ORD0000033,Wallet,Success,100842.14,26.98,2021-12-07
PAY00000034,ORD0000034,Debit Card,Success,104720.73,16.98,2021-05-12
PAY00000035,ORD0000035,UPI,Success,63279.72,0.0,2024-02-11
PAY00000036,ORD0000036,Netbanking,Success,84231.84,19.47,2023-09-09
PAY00000037,ORD0000037,Credit Card,Success,16074.74,5.14,2023-07-11
PAY00000038,ORD0000038,UPI,Success,141159.89,0.0,2020-07-31
PAY00000039,ORD0000039,Credit Card,Success,50794.44,6.99,2024-04-29
PAY00000040,ORD0000040,Credit Card,Success,55017.96,11.55,2023-04-08
