review_id,order_id,product_id,customer_id,review_date,rating,review_text,helpful_votes
REV00000001,ORD0004838,PROD00415,CUST000032,2021-06-01,3,Fast delivery,12
REV00000002,ORD0006633,PROD00083,CUST000955,2023-04-30,3,Packaging was poor,47
REV00000003,ORD0005348,PROD00583,CUST002485,2020-10-04,4,Good quality,0
REV00000004,ORD0008061,PROD00173,CUST001342,2021-01-12,3,Fast delivery,1
REV00000005,ORD0000897,PROD00394,CUST001121,2022-08-03,4,Product damaged,17
REV00000006,ORD0008364,PROD00348,CUST002391,2022-08-06,5,Average product,31
REV00000007,ORD0006126,PROD00472,CUST000572,2020-04-12,4,Highly recommended,23
REV00000008,ORD0007379,PROD00449,CUST000718,2021-09-09,3,Very satisfied,25
REV00000009,ORD0006604,PROD00504,CUST000878,2023-05-01,2,Fast delivery,42
REV00000010,ORD0000517,PROD00291,CUST001214,2022-06-04,3,Highly recommended,3
REV00000011,ORD0003580,PROD00339,CUST001440,2024-06-26,5,Average product,7
REV00000012,ORD0001298,PROD00463,CUST000225,2020-09-17,3,Product damaged,25
REV00000013,ORD0004551,PROD00205,CUST000668,2024-07-17,4,Very satisfied,47
REV00000014,ORD0003360,PROD00068,CUST000628,2020-04-24,4,Very satisfied,41
REV00000015,ORD0004136,PROD00484,CUST001275,2020-02-19,2,Average product,26
REV00000016,ORD0001281,PROD00519,CUST001855,2023-03-27,5,Highly recommended,48
REV00000017,ORD0006406,PROD00111,CUST001995,2022-10-14,5,Will buy again,48
REV00000018,ORD0001743,PROD00342,CUST001670,2023-03-29,4,Fast delivery,48
REV00000019,ORD0007053,PROD00569,CUST001482,2021-09-30,4,Product damaged,33
REV00000020,ORD0001916,PROD00504,CUST000432,2021-06-04,4,Product damaged,2
REV00000021,ORD0001945,PROD00482,CUST001980,2020-02-29,4,Packaging was poor,16
REV00000022,ORD0001469,PROD00518,CUST000797,2022-09-01,5,Fast delivery,49
REV00000023,ORD0005491,PROD00175,CUST000532,2021-07-01,3,Not as expected,2
REV00000024,ORD0008195,PROD00188,CUST001813,2021-12-09,4,Excellent value,37
